date,open,high,low,close,volume
2026-01-05,149.43,150.76,149.01,150.28,176530
2026-01-06,150.52,150.86,149.74,150.40,168034
2026-01-07,150.45,153.51,150.07,152.45,109512
2026-01-08,152.44,153.77,151.90,153.49,89480
2026-01-09,153.37,156.83,152.31,156.04,109955
2026-01-12,155.96,156.93,155.42,156.28,147167
2026-01-13,155.84,158.90,155.34,157.99,146232
2026-01-14,157.89,158.65,156.94,158.34,147015
2026-01-15,158.06,161.37,157.62,160.53,142019
2026-01-16,160.53,161.69,159.51,161.33,110329
2026-01-19,160.80,165.05,160.12,164.12,128630
2026-01-20,164.59,165.36,163.68,164.70,174097
2026-01-21,164.26,167.38,163.58,166.62,143902
2026-01-22,167.16,167.51,165.35,166.29,190263
2026-01-23,166.36,170.02,165.64,169.35,180618
2026-01-26,169.46,169.68,168.12,168.83,142568
2026-01-27,168.48,172.05,167.33,171.21,85401
2026-01-28,171.73,172.97,171.51,171.82,191007
2026-01-29,171.91,173.77,170.90,173.30,141239
2026-01-30,173.37,176.00,172.85,174.99,122069
2026-02-02,174.60,177.03,174.16,175.86,140915
2026-02-03,175.61,176.72,173.16,173.84,91409
2026-02-04,174.00,174.60,171.72,172.84,82208
2026-02-05,172.59,173.63,171.03,171.67,149301
2026-02-06,171.59,172.04,169.28,169.93,113565
2026-02-09,170.25,171.42,168.27,168.89,158165
2026-02-10,169.42,170.37,168.05,169.16,94546
2026-02-11,168.68,169.05,167.19,168.00,122996
2026-02-12,167.75,168.41,167.06,167.40,94014
2026-02-13,167.54,167.75,164.00,165.18,187761
2026-02-16,165.29,166.48,163.08,163.62,151299
2026-02-17,163.62,164.38,162.32,162.98,156904
2026-02-18,163.00,163.40,162.68,163.09,120517
2026-02-19,163.01,163.25,160.25,161.22,168271
2026-02-20,161.76,162.16,159.50,160.00,134803
2026-02-23,159.79,160.25,158.77,159.81,95081
2026-02-24,159.33,160.45,157.86,158.79,113730
2026-02-25,158.61,158.97,155.95,156.40,170751
2026-02-26,156.45,157.36,154.43,155.59,128375
2026-02-27,155.53,156.29,154.43,155.01,189382
2026-03-02,155.00,155.71,153.12,154.29,186428
2026-03-03,154.72,156.60,154.14,156.31,86443
2026-03-04,156.81,158.33,156.61,158.09,166690
2026-03-05,158.23,158.66,157.12,158.35,105175
2026-03-06,157.79,161.88,157.27,160.84,81575
2026-03-09,160.47,161.91,159.73,160.87,116813
2026-03-10,160.50,163.78,159.67,162.68,149031
2026-03-11,162.81,164.57,162.47,163.37,191710
2026-03-12,162.88,165.80,162.09,164.94,163153
2026-03-13,164.55,166.89,164.19,166.01,140159
2026-03-16,166.09,168.76,165.30,168.00,184960
2026-03-17,167.99,171.06,167.44,170.29,94891
2026-03-18,169.84,171.36,169.21,170.88,82214
2026-03-19,170.90,173.83,170.16,172.63,193288
2026-03-20,173.12,173.76,172.71,173.16,187190
2026-03-23,173.53,174.70,172.49,174.13,184372
2026-03-24,174.53,176.31,174.27,175.76,142040
2026-03-25,175.40,177.56,174.95,177.18,179598
2026-03-26,177.13,178.94,176.22,177.97,175939
2026-03-27,177.60,181.33,176.48,180.16,141228
