date,open,high,low,close,volume
2026-01-05,150.00,150.80,149.50,150.30,100000
2026-01-06,150.30,151.20,150.00,151.00,110000
2026-01-07,151.00,151.90,150.70,151.60,105000
2026-01-08,151.60,152.50,151.30,152.20,120000
2026-01-09,152.20,153.10,151.80,152.80,115000
2026-01-12,152.80,154.00,152.50,153.60,130000
2026-01-13,153.60,154.80,153.30,154.40,125000
2026-01-14,154.40,155.90,154.10,155.50,140000
2026-01-15,155.50,157.20,155.20,156.80,145000
2026-01-16,156.80,158.50,156.40,158.00,150000
2026-01-19,158.00,160.10,157.60,159.70,155000
2026-01-20,159.70,162.80,159.40,162.50,160000
2026-01-21,162.50,163.00,161.20,161.80,158000
2026-01-22,161.80,162.30,160.50,160.80,145000
2026-01-23,160.80,161.20,159.40,159.60,135000
2026-01-26,159.60,160.10,158.00,158.30,128000
2026-01-27,158.30,158.80,156.70,157.10,120000
2026-01-28,157.10,157.60,155.40,155.80,115000
2026-01-29,155.80,156.30,154.20,154.80,110000
2026-01-30,154.80,155.20,153.80,154.50,105000
