lookback,atr_threshold,total_return,total_trades,win_rate,final_equity
9,0.0,0.591730070576681,8,0.75,1.591730070576681
9,0.002,0.591730070576681,8,0.75,1.591730070576681
9,0.005,0.591730070576681,8,0.75,1.591730070576681
9,0.008,0.591730070576681,8,0.75,1.591730070576681
9,0.01,0.591730070576681,8,0.75,1.591730070576681
9,0.015,0.591730070576681,8,0.75,1.591730070576681
15,0.0,0.5568307961519867,5,0.6,1.5568307961519867
15,0.002,0.5568307961519867,5,0.6,1.5568307961519867
15,0.005,0.5568307961519867,5,0.6,1.5568307961519867
15,0.008,0.5568307961519867,5,0.6,1.5568307961519867
15,0.01,0.5568307961519867,5,0.6,1.5568307961519867
15,0.015,0.5568307961519867,5,0.6,1.5568307961519867
9,0.02,0.5101833030213634,8,0.75,1.5101833030213634
7,0.0,0.4969438897675178,10,0.7,1.4969438897675178
7,0.002,0.4969438897675178,10,0.7,1.4969438897675178
7,0.005,0.4969438897675178,10,0.7,1.4969438897675178
7,0.008,0.4969438897675178,10,0.7,1.4969438897675178
7,0.01,0.4969438897675178,10,0.7,1.4969438897675178
7,0.015,0.4969438897675178,10,0.7,1.4969438897675178
15,0.02,0.47707197183652283,5,0.6,1.4770719718365228
19,0.0,0.45768314018837253,4,0.75,1.4576831401883725
19,0.002,0.45768314018837253,4,0.75,1.4576831401883725
19,0.005,0.45768314018837253,4,0.75,1.4576831401883725
19,0.008,0.45768314018837253,4,0.75,1.4576831401883725
19,0.01,0.45768314018837253,4,0.75,1.4576831401883725
19,0.015,0.45768314018837253,4,0.75,1.4576831401883725
13,0.0,0.43009458475755213,7,0.5714285714285714,1.4300945847575521
13,0.002,0.43009458475755213,7,0.5714285714285714,1.4300945847575521
13,0.005,0.43009458475755213,7,0.5714285714285714,1.4300945847575521
13,0.008,0.43009458475755213,7,0.5714285714285714,1.4300945847575521
13,0.01,0.43009458475755213,7,0.5714285714285714,1.4300945847575521
13,0.015,0.43009458475755213,7,0.5714285714285714,1.4300945847575521
7,0.02,0.4202531633191575,10,0.7,1.4202531633191575
17,0.0,0.41295464088231504,5,0.6,1.412954640882315
17,0.002,0.41295464088231504,5,0.6,1.412954640882315
17,0.005,0.41295464088231504,5,0.6,1.412954640882315
17,0.008,0.41295464088231504,5,0.6,1.412954640882315
17,0.01,0.41295464088231504,5,0.6,1.412954640882315
17,0.015,0.41295464088231504,5,0.6,1.412954640882315
19,0.02,0.3830038020269839,4,0.75,1.383003802026984
5,0.0,0.37135567211750975,16,0.4375,1.3713556721175097
5,0.002,0.37135567211750975,16,0.4375,1.3713556721175097
5,0.005,0.37135567211750975,16,0.4375,1.3713556721175097
5,0.008,0.37135567211750975,16,0.4375,1.3713556721175097
5,0.01,0.37135567211750975,16,0.4375,1.3713556721175097
5,0.015,0.37135567211750975,16,0.4375,1.3713556721175097
13,0.02,0.3568286505133802,7,0.5714285714285714,1.3568286505133802
11,0.0,0.3548264219092927,8,0.625,1.3548264219092927
11,0.002,0.3548264219092927,8,0.625,1.3548264219092927
11,0.005,0.3548264219092927,8,0.625,1.3548264219092927
11,0.008,0.3548264219092927,8,0.625,1.3548264219092927
11,0.01,0.3548264219092927,8,0.625,1.3548264219092927
11,0.015,0.3548264219092927,8,0.625,1.3548264219092927
21,0.0,0.3423272920291349,4,0.75,1.342327292029135
21,0.002,0.3423272920291349,4,0.75,1.342327292029135
