lookback,fish_days,buy_ratio,trailing,總報酬率,勝率,最大回撤,總交易次數
20,120,0.05,20,185.37,65.17,,
20,90,0.05,20,139.77,64.29,,
20,120,0.08,10,84.65,63.04,,
10,90,0.05,10,61.5,62.86,,
20,90,0.08,20,56.95,59.77,,
20,120,0.05,10,54.59,62.96,,
10,120,0.08,10,53.94,65.22,,
20,90,0.08,10,30.32,63.89,,
20,120,0.08,20,19.03,60.0,,
10,120,0.05,10,12.48,61.79,,
10,90,0.08,10,9.08,61.02,,
20,90,0.05,10,-10.49,60.68,,
10,90,0.05,20,-19.68,57.65,,
10,90,0.08,20,-29.03,57.14,,
10,120,0.05,20,-31.51,54.22,,
10,120,0.08,20,-41.51,47.67,,
