fast,slow,valid_symbols,total_trades,avg_win_rate,avg_return,positive_ratio,return_per_trade
10,40,11,248,0.5555692591161698,0.07646979970739363,0.9090909090909091,0.0003083459665620711
10,60,11,182,0.5793492908255081,0.04717994538586123,0.7272727272727273,0.0002592304691530837
15,30,11,308,0.5064702370147548,0.031784104545600246,0.45454545454545453,0.00010319514462857222
20,30,11,325,0.4749573023484024,0.021348012448577047,0.5454545454545454,6.568619214946784e-05
10,30,11,316,0.4793944963034905,0.018473382844145625,0.7272727272727273,5.846007229160008e-05
10,50,11,214,0.47043989409595943,0.016033615638241037,0.45454545454545453,7.492343756187401e-05
20,50,11,175,0.4697199413776954,0.01219304755422886,0.5454545454545454,6.967455745273634e-05
5,40,11,304,0.48379874333593575,0.009479673474937745,0.45454545454545453,3.118313643071626e-05
15,40,11,236,0.44941069833383746,0.005732681238606541,0.45454545454545453,2.429102219748534e-05
5,50,11,280,0.4662305469308258,0.0014325558193433938,0.5454545454545454,5.116270783369263e-06
20,60,11,149,0.490375411872738,0.0009566244850790041,0.7272727272727273,6.420298557577209e-06
15,50,11,190,0.4408225740339447,-0.006301875714050844,0.5454545454545454,-3.316776691605707e-05
5,20,11,561,0.4653009041476066,-0.010194988895037983,0.36363636363636365,-1.8172885730905495e-05
5,60,11,258,0.5392399378874408,-0.012036364917175347,0.36363636363636365,-4.665257719835406e-05
20,40,11,237,0.48609416537805283,-0.019575197764956136,0.36363636363636365,-8.259577116015248e-05
10,20,11,457,0.4761700984851803,-0.021257745630147772,0.45454545454545453,-4.651585477056405e-05
15,60,11,148,0.47639378595260945,-0.02319012240900061,0.36363636363636365,-0.00015669001627703115
15,20,11,532,0.4307389057831353,-0.03932937386568182,0.2727272727272727,-7.392739448436432e-05
5,30,11,406,0.4435612868018612,-0.04035544044729325,0.45454545454545453,-9.939763656968781e-05
