N,final_value,total_return,annualized,sharpe,max_drawdown,distinct_stocks,yr_2015,yr_2016,yr_2017,yr_2018,yr_2019,yr_2020,yr_2021,yr_2022,yr_2023,yr_2024,yr_2025
-1,10408497,19.817,0.3179,1.12,-0.4231,117,-0.1087,0.7843,-0.136,0.0529,0.0487,0.7168,1.1584,-0.0378,1.1395,-0.0328,0.7287
1,2186859,3.3737,0.1436,0.62,-0.5122,125,-0.1292,0.4668,0.1955,-0.3332,0.1223,0.5776,0.3104,-0.1296,0.752,-0.0054,0.3223
2,3224798,5.4496,0.1847,0.73,-0.513,129,-0.11,0.2136,0.3737,-0.165,0.1436,0.7991,0.3669,-0.1679,0.6925,0.0944,0.2974
3,1758911,2.5178,0.1212,0.55,-0.4798,129,-0.3324,0.1608,0.4573,-0.2153,0.174,0.6502,0.5927,-0.1708,0.6074,-0.1112,0.1591
4,1522309,2.0446,0.1065,0.51,-0.5183,127,-0.2743,0.2647,0.2359,-0.1681,0.104,0.4631,0.4333,-0.2746,0.6839,-0.1514,0.4267
5,2179362,3.3587,0.1432,0.62,-0.5012,127,-0.278,0.3019,-0.0446,-0.1867,0.2641,0.4314,0.5341,-0.2375,1.1847,-0.1493,0.6222
6,2546408,4.0928,0.1595,0.67,-0.4982,120,-0.2694,0.2418,-0.0152,-0.2068,0.1801,0.4881,0.3565,-0.1666,1.1116,0.0825,0.757
7,3033538,5.0671,0.1781,0.73,-0.4581,115,-0.2415,0.2694,0.0864,-0.0221,0.0719,0.4769,0.3441,-0.0674,1.1326,0.099,0.4716
8,2322745,3.6455,0.1499,0.64,-0.484,116,-0.3034,0.4023,-0.0323,-0.0421,0.041,0.4549,0.0739,-0.1614,1.657,0.2472,0.3308
9,2654019,4.308,0.1639,0.68,-0.5016,116,-0.1855,0.3525,0.1335,-0.1906,0.0675,0.5211,0.3292,-0.093,1.0364,0.1705,0.3305
10,2442786,3.8856,0.1552,0.66,-0.4965,117,-0.166,0.2141,0.0427,-0.0821,-0.0225,0.5677,0.0173,-0.1353,1.4118,0.133,0.5295
11,1749836,2.4997,0.1206,0.54,-0.5245,113,-0.332,0.4053,0.0745,-0.2028,-0.0632,0.6566,-0.0518,-0.1565,1.3253,0.1231,0.6137
12,4633406,8.2668,0.2244,0.84,-0.4729,115,-0.2271,0.4649,0.1454,0.0568,-0.0042,0.6007,0.0884,-0.0945,1.0937,0.2564,0.5878
