N,final_value,total_return,annualized,sharpe,max_drawdown,distinct_stocks,yr_2022,yr_2023,yr_2024,yr_2025
-1,1671208,2.3424,0.3524,1.22,-0.3897,69,-0.0378,1.1395,-0.0328,0.7287
1,972121,0.9442,0.181,0.74,-0.4541,71,-0.1296,0.752,-0.0054,0.3223
2,975371,0.9507,0.182,0.74,-0.3511,69,-0.1679,0.6925,0.0944,0.2974
3,683447,0.3669,0.0813,0.43,-0.4323,70,-0.1708,0.6074,-0.1112,0.1591
4,722933,0.4459,0.0966,0.48,-0.3943,69,-0.2746,0.6839,-0.1514,0.4267
5,1106068,1.2121,0.2197,0.84,-0.426,73,-0.2375,1.1847,-0.1493,0.6222
6,1652210,2.3044,0.3485,1.18,-0.3733,69,-0.1666,1.1116,0.0825,0.757
7,1498419,1.9968,0.316,1.09,-0.4049,66,-0.0674,1.1326,0.099,0.4716
8,1739019,2.478,0.3659,1.2,-0.3413,68,-0.1614,1.657,0.2472,0.3308
9,1315034,1.6301,0.2737,0.98,-0.3262,68,-0.093,1.0364,0.1705,0.3305
10,1714369,2.4287,0.3611,1.16,-0.3766,67,-0.1353,1.4118,0.133,0.5295
11,1496049,1.9921,0.3155,1.04,-0.3901,62,-0.1565,1.3253,0.1231,0.6137
12,1651079,2.3022,0.3483,1.13,-0.3134,65,-0.0945,1.0937,0.2564,0.5878
