,equity_rotate5,equity_0050
2015-02-26,499644.2569338692,525928.9959062255
2015-03-02,500254.38469985133,523677.9305892764
2015-03-03,499294.93281090166,522923.1884294372
2015-03-04,496704.67531516,523290.5895258665
2015-03-05,503469.70243472396,521413.7206066208
2015-03-06,505942.3872109339,522155.24476916064
2015-03-09,504201.49176837783,516912.15273502975
2015-03-10,502289.5231502239,515783.3993380514
2015-03-11,504291.90452254144,516524.9257447823
2015-03-12,504159.0524583638,521006.6844229821
2015-03-13,502057.91221613914,519503.87288694695
2015-03-16,497350.92789421894,515383.23867046525
2015-03-17,497434.59827444406,517246.6873487488
2015-03-18,501371.7848670836,522850.14982790744
2015-03-19,501973.046251273,528453.4291650661
2015-03-20,496596.89553888363,527698.7091012466
2015-03-23,495123.51244747336,529187.8452667531
2015-03-24,495986.75006129063,527311.332414234
2015-03-25,491534.662464865,525434.6226556542
2015-03-26,491075.1247538276,519070.62012067076
2015-03-27,489700.42904591054,514202.37726901093
2015-03-30,488540.8000677735,514569.7628751375
2015-03-31,491406.213987935,516433.1066702741
2015-04-01,482810.17749112897,513434.8552965735
2015-04-02,489619.384326035,519785.5066679872
2015-04-07,493967.01534256106,520526.86152402626
2015-04-08,484530.18822921254,516032.9027425032
2015-04-09,476780.9938932482,516774.3269967958
2015-04-10,479082.9026351598,520880.99558797665
2015-04-13,479694.3927161306,522370.0121552723
2015-04-14,476596.1692070878,519745.9052199245
2015-04-15,470141.6942190725,513382.6991531778
2015-04-16,471112.90690246114,521228.3608394258
2015-04-17,470007.15415573004,516360.9745622906
2015-04-20,469213.6289818894,515606.58850497025
2015-04-21,469500.81178298895,515600.0411197194
2015-04-22,478982.3141800187,520828.08304489986
2015-04-23,495371.7019877072,534655.1491163087
2015-04-24,510342.07518099964,539882.6531866816
2015-04-27,525649.9987695371,543988.4538287523
2015-04-28,536598.2325229386,542859.8674959928
2015-04-29,529524.079512408,536871.0360040348
2015-04-30,539101.5905833158,534247.2659558274
2015-05-04,541211.9707176874,535362.0362094962
2015-05-05,536437.4479381484,532364.4643508174
2015-05-06,546408.2595352535,533105.4695400707
2015-05-07,534149.7346895643,526743.1415750362
2015-05-08,536164.1068468536,527110.4888897856
2015-05-11,550214.2377613141,529720.5079501015
2015-05-12,555904.2386428666,528592.4346345777
2015-05-13,555152.0979650423,531576.1459096243
2015-05-14,536129.4319055893,524093.1263008826
2015-05-15,524248.4970671545,523338.8944289799
2015-05-18,520049.80266224995,525201.1465617238
2015-05-19,521376.6161869344,533044.546295274
2015-05-20,513511.407860359,529299.7104461216
2015-05-21,505277.6047629935,524433.8447636531
2015-05-22,510704.1287068158,528538.738742033
2015-05-25,509403.0422630132,528532.0271390014
2015-05-26,511727.6784539622,530767.9278885917
2015-05-27,508051.23566841136,531882.500235606
2015-05-28,510451.5223425413,534492.2303872377
2015-05-29,506446.7621790684,531495.149487296
2015-06-01,502004.04340690025,527003.4036243395
2015-06-02,495610.2412269049,526249.167259887
2015-06-03,502323.65482655726,522878.7615370119
2015-06-04,480014.17630862986,512780.91748109023
2015-06-05,487166.9634131676,511653.23410959076
2015-06-08,489355.1743304534,515010.33197922364
2015-06-09,480284.7013326591,510892.6615884531
2015-06-10,493162.807608478,513128.5138155677
2015-06-11,480617.5377658036,514616.95352171734
2015-06-12,477020.4216183978,514236.62346555124
2015-06-15,477531.46605825354,513108.96631088475
2015-06-16,474617.4088841203,509738.98970148235
2015-06-17,478420.6402205138,511974.91779565817
2015-06-18,480774.9876651596,511220.9047399368
2015-06-22,491231.0639865459,518314.76873902953
2015-06-23,498156.3577300105,519802.9689927585
2015-06-24,493947.7605005518,520543.7702011499
2015-06-25,498277.92704146064,526515.7699572071
2015-06-26,498391.2427423642,526509.0840426681
2015-06-29,490465.2732218056,514171.3273081528
2015-06-30,498470.72476097895,518648.94094649196
2015-07-01,503800.8841148426,523499.8940815434
2015-07-02,500338.57093754655,523866.89857694163
2015-07-03,499445.7014185774,523860.2462988645
2015-07-06,495756.41497358656,517875.1492852
2015-07-07,487829.79699059157,520110.60391713755
2015-07-08,455482.46360033134,504411.12272960076
2015-07-09,471344.77046159894,501415.60897265776
2015-07-10,471344.77046159894,501409.24179032154
2015-07-13,465836.3528695673,508875.4969543123
2015-07-14,467155.03660611535,508869.0350432398
