dim,pool_n,top_n,inst_days,min_drawback,momentum_weight,stability_weight,use_ma_filter,final_value,total_return,annualized,sharpe,max_drawdown,max_drawdown_date,skipped_count,yr_2015,yr_2016,yr_2017,yr_2018,yr_2019,yr_2020,yr_2021,yr_2022,yr_2023,yr_2024,yr_2025
基準,100,4,15,20.0,2.0,0.5,True,14899849,28.7997,0.3616,1.21,-0.4955,2025-04-09,9,-0.1285,0.615,-0.2117,0.2467,0.1609,1.1418,1.1929,-0.0555,0.9993,-0.0328,0.7736
pool_n,50,4,15,20.0,2.0,0.5,True,1897662,2.7953,0.1289,0.63,-0.5211,2020-03-19,22,-0.1621,0.261,-0.0148,-0.3058,-0.0363,0.818,0.5762,-0.0844,0.3203,0.0865,0.5947
pool_n,100,4,15,20.0,2.0,0.5,True,14899849,28.7997,0.3616,1.21,-0.4955,2025-04-09,9,-0.1285,0.615,-0.2117,0.2467,0.1609,1.1418,1.1929,-0.0555,0.9993,-0.0328,0.7736
pool_n,150,4,15,20.0,2.0,0.5,True,5767365,10.5347,0.249,0.91,-0.451,2025-04-09,15,0.0576,0.6944,-0.0972,0.1607,0.0296,0.4503,1.341,0.0718,0.4993,-0.0409,0.1969
pool_n,200,4,15,20.0,2.0,0.5,True,3455254,5.9105,0.1922,0.72,-0.5464,2018-10-30,16,0.0516,0.422,-0.0679,-0.0441,0.0004,0.2892,0.7034,-0.0253,0.461,-0.1136,0.526
pool_n,300,4,15,20.0,2.0,0.5,True,2089319,3.1786,0.1389,0.57,-0.5734,2018-10-30,21,-0.061,0.5205,0.0765,-0.1276,0.0146,0.8365,0.2463,-0.2241,0.7269,0.068,-0.0131
inst_days,100,4,10,20.0,2.0,0.5,True,13054221,25.1084,0.3453,1.2,-0.4094,2022-10-26,13,-0.1745,0.658,-0.2117,0.2507,0.1506,1.1707,1.1442,-0.0053,1.1179,-0.0432,0.4641
inst_days,100,4,15,20.0,2.0,0.5,True,14899849,28.7997,0.3616,1.21,-0.4955,2025-04-09,9,-0.1285,0.615,-0.2117,0.2467,0.1609,1.1418,1.1929,-0.0555,0.9993,-0.0328,0.7736
inst_days,100,4,21,20.0,2.0,0.5,True,16514038,32.0281,0.3744,1.23,-0.5027,2025-04-09,12,-0.1713,0.8189,-0.2117,0.1986,0.1252,0.9629,1.1584,-0.0214,1.1395,-0.0328,0.7736
inst_days,100,4,30,20.0,2.0,0.5,True,6906311,12.8126,0.2696,1.0,-0.434,2025-04-09,15,-0.2289,0.8151,-0.2212,0.2635,-0.0012,0.9225,0.5828,-0.0093,0.9078,-0.0206,0.9976
min_drawback,100,4,15,0.0,2.0,0.5,True,11020387,21.0408,0.3248,1.13,-0.3918,2025-04-09,0,-0.1285,0.615,-0.1474,0.1009,0.0811,0.9035,1.1929,0.0122,0.9993,-0.0328,0.7287
min_drawback,100,4,15,10.0,2.0,0.5,True,11682059,22.3641,0.3318,1.15,-0.4793,2025-04-09,20,-0.1925,0.4907,-0.1522,0.2399,0.025,1.0097,1.1929,0.1209,0.9993,-0.0281,0.7736
min_drawback,100,4,15,20.0,2.0,0.5,True,14899849,28.7997,0.3616,1.21,-0.4955,2025-04-09,9,-0.1285,0.615,-0.2117,0.2467,0.1609,1.1418,1.1929,-0.0555,0.9993,-0.0328,0.7736
min_drawback,100,4,15,30.0,2.0,0.5,True,15837623,30.6752,0.3692,1.23,-0.489,2025-04-09,4,-0.1285,0.615,-0.1474,0.2467,0.0811,1.1418,1.1929,0.0122,0.9993,-0.0328,0.9097
top_n,100,2,15,20.0,2.0,0.5,True,15034009,29.068,0.3627,1.06,-0.5347,2025-04-09,14,-0.175,0.9736,-0.1496,0.5482,0.2697,1.0768,0.9292,0.2236,0.504,-0.0329,0.3512
top_n,100,3,15,20.0,2.0,0.5,True,27635217,54.2704,0.4403,1.3,-0.5347,2025-04-09,11,-0.136,0.9108,-0.2263,0.3707,0.2735,1.1575,1.6968,-0.0547,0.803,-0.0082,0.859
top_n,100,4,15,20.0,2.0,0.5,True,14899849,28.7997,0.3616,1.21,-0.4955,2025-04-09,9,-0.1285,0.615,-0.2117,0.2467,0.1609,1.1418,1.1929,-0.0555,0.9993,-0.0328,0.7736
top_n,100,5,15,20.0,2.0,0.5,True,10709640,20.4193,0.3213,1.18,-0.4782,2025-04-09,7,-0.1542,0.5835,-0.1062,0.2093,0.0475,1.0025,0.8825,-0.0223,0.8863,-0.0659,1.0162
top_n,100,6,15,20.0,2.0,0.5,True,7908890,14.8178,0.2854,1.09,-0.4781,2025-04-09,11,-0.1429,0.4667,-0.0427,-0.0905,-0.0229,1.1082,0.7697,-0.0377,0.9556,-0.0448,0.9742
